title,release_year,score,number_of_seasons,main_genre
Monty Python's Flying Circus,1969,8.8,4,comedy
Knight Rider,1982,6.9,4,action
Seinfeld,1989,8.9,9,comedy
Star Trek: Deep Space Nine,1993,8.1,7,scifi
Neon Genesis Evangelion,1995,8.5,1,scifi
Stargate SG-1,1997,8.4,10,scifi
Cowboy Bebop,1998,8.9,1,western
One Piece,1999,8.8,21,action
Gilmore Girls,2000,8.2,8,comedy
Trailer Park Boys,2001,8.6,12,comedy
Naruto,2002,8.4,6,scifi
Chappelle's Show,2003,8.8,3,comedy
The 4400,2004,7.3,4,scifi
Avatar: The Last Airbender,2005,9.3,3,scifi
DEATH NOTE,2006,9.0,1,scifi
iCarly,2007,6.7,6,comedy
Breaking Bad,2008,9.5,5,drama
Community,2009,8.5,6,comedy
Downton Abbey,2010,8.7,6,drama
Hunter x Hunter,2011,9.0,3,drama
Call the Midwife,2012,8.5,11,drama
Attack on Titan,2013,9.0,4,scifi
BoJack Horseman,2014,8.8,6,drama
Better Call Saul,2015,8.8,6,comedy
Stranger Things,2016,8.7,5,scifi
Anne with an E,2017,8.7,3,drama
Cobra Kai,2018,8.6,5,action
Kota Factory,2019,9.3,2,drama
The Last Dance,2020,9.1,1,documentary
Arcane,2021,9.1,1,action
Heartstopper,2022,8.9,1,drama
